PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Arianoutsou, Margarita; Koukoulas, Sotirios; Kazanis, Dimitrios								Evaluating Post-Fire Forest Resilience Using GIS and Multi-Criteria Analysis: An Example from Cape Sounion National Park, Greece								ENVIRONMENTAL MANAGEMENT				47	3			384	397		10.1007/s00267-011-9614-7			MAR 2011	2011										15							WOS:000288257100006		
J	Sowana, Akom; Shrestha, Rajendra P.; Parkpian, Preeda; Pongquan, Soparth								Influence of Coastal Land Use on Soil Heavy-Metal Contamination in Pattani Bay, Thailand								JOURNAL OF COASTAL RESEARCH				27	2			252	262		10.2112/JCOASTRES-D-09-00050.1			MAR 2011	2011										9							WOS:000288306500005		
J	Wheeler, Peter J.; Peterson, James A.; Gordon-Brown, Lee N.								Spatial Decision Support for Integrated Coastal Zone Management (ICZM) in Victoria, Australia: Constraints and Opportunities								JOURNAL OF COASTAL RESEARCH				27	2			296	317		10.2112/JCOASTRES-D-09-00150.1			MAR 2011	2011										3							WOS:000288306500009		
J	Nelson, Trisalyn A.; Gillanders, Steve N.; Harper, John; Morris, Mary								Nearshore Aquatic Habitat Monitoring: A Seabed Imaging and Mapping Approach								JOURNAL OF COASTAL RESEARCH				27	2			348	355		10.2112/JCOASTRES-D-10-00110.1			MAR 2011	2011										5							WOS:000288306500012		
J	Tabor, Joseph A.; O'Rourke, Mary Kay; Lebowitz, Michael D.; Harris, Robin B.								Landscape-epidemiological study design to investigate an environmentally based disease								JOURNAL OF EXPOSURE SCIENCE AND ENVIRONMENTAL EPIDEMIOLOGY				21	2			197	211		10.1038/jes.2009.67			MAR-APR 2011	2011										6							WOS:000288054700010		
J	Wu, Di-You; Van, Lan-Da								Efficient Detection Algorithms for MIMO Communication Systems								JOURNAL OF SIGNAL PROCESSING SYSTEMS FOR SIGNAL IMAGE AND VIDEO TECHNOLOGY				62	3			427	442		10.1007/s11265-010-0474-9			MAR 2011	2011										0							WOS:000288023400013		
J	Dou, Haoyang; Zhao, Xinyi								Climate change and its human dimensions based on GIS and meteorological statistics in Pearl River Delta, Southern China								METEOROLOGICAL APPLICATIONS				18	1			111	122		10.1002/met.219			MAR 2011	2011										8							WOS:000288133400011		
J	Rose, Donald; Bodor, J. Nicholas; Rice, Janet C.; Swalm, Chris M.; Hutchinson, Paul L.								The Effects of Hurricane Katrina on Food Access Disparities in New Orleans								AMERICAN JOURNAL OF PUBLIC HEALTH				101	3			482	484		10.2105/AJPH.2010.196659			MAR 2011	2011										5							WOS:000287571800021		
J	Wei, Lan; Qian, Quan; Wang, Zhi-Qiang; Glass, Gregory E.; Song, Shao-Xia; Zhang, Wen-Yi; Li, Xiu-Jun; Yang, Hong; Wang, Xian-Jun; Fang, Li-Qun; Cao, Wu-Chun								Using Geographic Information System-based Ecologic Niche Models to Forecast the Risk of Hantavirus Infection in Shandong Province, China								AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE				84	3			497	503		10.4269/ajtmh.2011.10-0314			MAR 2011	2011										19							WOS:000287995600022		
J	Acosta, J. A.; Faz, A.; Martinez-Martinez, S.; Arocena, J. M.								Enrichment of metals in soils subjected to different land uses in a typical Mediterranean environment (Murcia City, southeast Spain)								APPLIED GEOCHEMISTRY				26	3			405	414		10.1016/j.apgeochem.2011.01.023			MAR 2011	2011										35							WOS:000287948900015		
J	Zhang Xin; Dong Wen; Zheng Zhigang								Research on three-dimension ocean observation data integration and service technology								CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY				29	2			482	490		10.1007/s00343-011-0020-z			MAR 2011	2011										0							WOS:000287924000028		
J	Ramezani, Habib; Holm, Soren								Sample based estimation of landscape metrics; accuracy of line intersect sampling for estimating edge density and Shannon's diversity index								ENVIRONMENTAL AND ECOLOGICAL STATISTICS				18	1			109	130		10.1007/s10651-009-0123-2			MAR 2011	2011										14							WOS:000287856600006		
J	Diez, Esther; McIntosh, Brian S.								Organisational drivers for, constraints on and impacts of decision and information support tool use in desertification policy and management								ENVIRONMENTAL MODELLING & SOFTWARE				26	3			317	327		10.1016/j.envsoft.2010.04.003			MAR 2011	2011										19							WOS:000286284700009		
J	Steil, Dana A.; Pate, Jeremy R.; Kraft, Nicholas A.; Smith, Randy K.; Dixon, Brandon; Ding, Li; Parrish, Allen								Patrol Routing Expression, Execution, Evaluation, and Engagement								IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS				12	1			58	72		10.1109/TITS.2010.2065224			MAR 2011	2011										2							WOS:000287867000006		
J	Akter, A.; Ali, M. H.								Arsenic contamination in groundwater and its proposed remedial measures								INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY				8	2			433	443		10.1007/BF03326230			SPR 2011	2011										16							WOS:000287841400020		
J	Ullah, Isaac I. T.								A GIS method for assessing the zone of human-environmental impact around archaeological sites: a test case from the Late Neolithic of Wadi Ziglab, Jordan								JOURNAL OF ARCHAEOLOGICAL SCIENCE				38	3			623	632		10.1016/j.jas.2010.10.015			MAR 2011	2011										21							WOS:000286954100014		
J	Graves, Dorothy								The use of predictive modelling to target Neolithic settlement and occupation activity in mainland Scotland								JOURNAL OF ARCHAEOLOGICAL SCIENCE				38	3			633	656		10.1016/j.jas.2010.10.016			MAR 2011	2011										13							WOS:000286954100015		
